Qu'est-ce qu'une hormone ?;Un messager chimique circulant dans le sang
Quelles sont les cellules présentes en plus grande quantité dans notre organisme ?;Les bactéries
Quel est le plus grand organe du corps en état fonctionnel ?;La peau
Où se situe la principale différence entre les bactéries Gram + et Gram - ?;La paroi
Qu'est-ce que l'AMP cyclique ?;Un second messager de transduction de signal
Quels sont les récepteurs impliqués dans l'augmentation de la fréquence cardiaque via le système nerveux sympathique ?;Les récepteurs adrénergiques
Un des effets de l'adrénaline est :;Une augmentation de la pression artérielle
Si je vais à la montagne, quelle hormone permet sur le long terme d'augmenter la quantité d'hématies (ou globules rouges) ?;L'epo
Quelle technique permet d'amplifier un ARNm ?;La rt-pcr
Quelle enzyme est impliquée dans l'extinction épigénétique d'un gène ?;Histone désacetylase (HDAC)
Génétique - Combien un organisme diploïde (2n) a-t-il de chromatides en phase G2 du cycle ?;4
L'aldostérone est une hormone permettant :;Une augmentation du volume d'eau dans le sang